Timestamp: 7-3-2024 14:58:01, x: 0, y: 0, z: 0, rx: 0, ry: 0, rz: 0, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:01, x: 0,6656253, y: 1,224983, z: -0,4960583, rx: 63,0162, ry: 7,047327, rz: 347,1857, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:01, x: 0,6584104, y: 1,243835, z: -0,5082865, rx: 53,38017, ry: 12,7054, rz: 352,4308, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:01, x: 0,6523765, y: 1,258927, z: -0,5112801, rx: 45,80957, ry: 14,49381, rz: 354,5573, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:01, x: 0,6527617, y: 1,262117, z: -0,5098686, rx: 43,88307, ry: 13,89453, rz: 354,1668, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6536372, y: 1,265972, z: -0,5081095, rx: 44,18833, ry: 12,70122, rz: 353,7288, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6545631, y: 1,268139, z: -0,5063034, rx: 43,21062, ry: 12,06218, rz: 353,5609, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6548413, y: 1,270038, z: -0,5024819, rx: 42,3403, ry: 12,34601, rz: 354,3121, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6557114, y: 1,273501, z: -0,49856, rx: 41,77656, ry: 12,21578, rz: 354,3863, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6570166, y: 1,276773, z: -0,4940199, rx: 41,4794, ry: 11,95767, rz: 354,4925, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6572471, y: 1,277149, z: -0,4898228, rx: 40,5332, ry: 12,07724, rz: 355,081, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6624821, y: 1,278413, z: -0,4893302, rx: 39,04378, ry: 10,74837, rz: 354,6712, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6605532, y: 1,277232, z: -0,4858676, rx: 37,38592, ry: 10,05122, rz: 355,4746, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6604224, y: 1,276336, z: -0,4854938, rx: 34,91849, ry: 8,950336, rz: 355,6961, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6605549, y: 1,274264, z: -0,4858993, rx: 32,1859, ry: 8,066461, rz: 356,1468, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,659679, y: 1,273749, z: -0,486581, rx: 30,55461, ry: 7,288442, rz: 356,137, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6571352, y: 1,273119, z: -0,4885316, rx: 29,71824, ry: 7,201066, rz: 355,7267, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,6547441, y: 1,271383, z: -0,491778, rx: 28,47108, ry: 7,343588, rz: 355,918, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:58:02, x: 0,650614, y: 1,269779, z: -0,4952898, rx: 27,67764, ry: 8,841109, rz: 356,137, instruction ID: 0, Game state: waiting for user to recenter
