Timestamp: 7-3-2024 15:03:36, x: 0, y: 0, z: 0, rx: 0, ry: 0, rz: 0, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,07978621, y: 1,289062, z: 0,2240368, rx: 64,29104, ry: 2,022016, rz: 351,8703, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,07709693, y: 1,290638, z: 0,2182953, rx: 59,84895, ry: 357,4663, rz: 349,4222, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,07964653, y: 1,290089, z: 0,2144086, rx: 54,11365, ry: 355,1606, rz: 348,7034, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,08249062, y: 1,291698, z: 0,2149542, rx: 53,52157, ry: 354,2283, rz: 347,8711, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,08370761, y: 1,291705, z: 0,2140553, rx: 52,91891, ry: 353,9644, rz: 347,2646, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,08513577, y: 1,291607, z: 0,2134086, rx: 52,70252, ry: 353,9702, rz: 346,3363, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,08708452, y: 1,2908, z: 0,2122893, rx: 52,09275, ry: 354,1295, rz: 345,6592, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,08914886, y: 1,289844, z: 0,2111693, rx: 51,65568, ry: 354,766, rz: 345,505, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09079313, y: 1,288217, z: 0,2102447, rx: 51,27522, ry: 355,5915, rz: 345,9121, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09280608, y: 1,286693, z: 0,2093346, rx: 50,65351, ry: 356,0115, rz: 345,7688, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09406801, y: 1,283677, z: 0,2075114, rx: 49,26102, ry: 356,4616, rz: 345,7096, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09572367, y: 1,280644, z: 0,2053497, rx: 47,60788, ry: 356,7387, rz: 345,4678, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09622307, y: 1,278705, z: 0,2037133, rx: 46,85009, ry: 357,271, rz: 345,5327, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09712394, y: 1,276776, z: 0,2020234, rx: 46,13671, ry: 357,6661, rz: 345,6218, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09677498, y: 1,27579, z: 0,2004881, rx: 45,42539, ry: 358,1427, rz: 346,0311, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09774359, y: 1,272088, z: 0,1980214, rx: 44,30487, ry: 358,1709, rz: 346,3323, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09811884, y: 1,270252, z: 0,1962703, rx: 43,80134, ry: 358,244, rz: 346,6953, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09828572, y: 1,267971, z: 0,1945836, rx: 43,17288, ry: 358,3356, rz: 346,836, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09801074, y: 1,265405, z: 0,1933357, rx: 42,38953, ry: 358,75, rz: 346,9779, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09761357, y: 1,263041, z: 0,1921643, rx: 41,51255, ry: 358,7231, rz: 346,9099, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09700012, y: 1,261611, z: 0,1908209, rx: 40,8583, ry: 358,2983, rz: 346,9231, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09679769, y: 1,258667, z: 0,1889196, rx: 40,15352, ry: 358,5166, rz: 347,1866, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09683406, y: 1,257141, z: 0,1877799, rx: 39,35056, ry: 358,5521, rz: 347,3131, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09633169, y: 1,254837, z: 0,1861194, rx: 38,54589, ry: 358,7697, rz: 347,8151, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09632105, y: 1,253534, z: 0,1842684, rx: 37,88837, ry: 358,5075, rz: 347,9221, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09485676, y: 1,253912, z: 0,1823104, rx: 36,81952, ry: 359,0226, rz: 348,2957, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09364451, y: 1,253105, z: 0,1801786, rx: 35,31157, ry: 359,5396, rz: 349,0641, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09290849, y: 1,25378, z: 0,1784611, rx: 34,66762, ry: 359,4471, rz: 349,2713, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:37, x: 0,09200411, y: 1,25361, z: 0,1764398, rx: 33,35245, ry: 358,9211, rz: 349,1316, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,08943368, y: 1,252975, z: 0,1733545, rx: 31,77095, ry: 359,0416, rz: 349,186, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,08623105, y: 1,254602, z: 0,1707142, rx: 30,47792, ry: 359,3586, rz: 349,2702, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,08424196, y: 1,255942, z: 0,167707, rx: 30,15075, ry: 358,9477, rz: 348,9641, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,08173319, y: 1,257021, z: 0,1644906, rx: 30,04059, ry: 358,6053, rz: 348,4365, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,08003527, y: 1,257871, z: 0,1611225, rx: 29,95619, ry: 358,3034, rz: 348,4755, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07770521, y: 1,259759, z: 0,1578122, rx: 29,98089, ry: 359,1773, rz: 348,8894, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07580909, y: 1,25872, z: 0,1544919, rx: 29,84265, ry: 359,693, rz: 348,9565, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,0737957, y: 1,259734, z: 0,1512124, rx: 30,23064, ry: 0,05083033, rz: 348,3733, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07187493, y: 1,259605, z: 0,1477592, rx: 29,90702, ry: 0,7707968, rz: 348,4785, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07239509, y: 1,259843, z: 0,1488641, rx: 29,26293, ry: 1,391009, rz: 349,114, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,0769791, y: 1,255961, z: 0,1541295, rx: 26,87778, ry: 359,5091, rz: 349,9833, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07513775, y: 1,256569, z: 0,1562379, rx: 26,32826, ry: 359,4034, rz: 350,8292, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,0721165, y: 1,260933, z: 0,156813, rx: 26,94155, ry: 0,3194505, rz: 351,3549, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07207847, y: 1,259648, z: 0,1569303, rx: 26,40881, ry: 0,5433788, rz: 351,4485, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07275569, y: 1,260561, z: 0,1562741, rx: 26,45387, ry: 0,1424042, rz: 351,3851, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07265119, y: 1,259987, z: 0,1537311, rx: 25,90344, ry: 0,2073031, rz: 351,7443, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07166261, y: 1,259923, z: 0,1525116, rx: 25,56038, ry: 0,741011, rz: 352,1343, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07082087, y: 1,260987, z: 0,1566472, rx: 26,03517, ry: 0,9106924, rz: 352,1183, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07189891, y: 1,26235, z: 0,1588476, rx: 25,85276, ry: 0,150002, rz: 351,9852, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07183024, y: 1,262762, z: 0,1584155, rx: 25,28981, ry: 0,3378758, rz: 352,6439, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07130343, y: 1,261979, z: 0,1582698, rx: 24,79077, ry: 0,724524, rz: 353,4876, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07147925, y: 1,261873, z: 0,158577, rx: 24,85409, ry: 0,441782, rz: 353,8759, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07123537, y: 1,261154, z: 0,1589161, rx: 24,87682, ry: 0,6067115, rz: 354,2417, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07051002, y: 1,260775, z: 0,1594947, rx: 25,02876, ry: 0,9600163, rz: 354,4571, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07064036, y: 1,260473, z: 0,1595344, rx: 25,1575, ry: 1,453251, rz: 354,7401, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07027327, y: 1,260192, z: 0,1599075, rx: 25,51243, ry: 2,130503, rz: 355,2551, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,07028754, y: 1,259967, z: 0,1600874, rx: 25,55575, ry: 2,492876, rz: 355,6647, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,06986499, y: 1,259744, z: 0,1604492, rx: 25,29269, ry: 3,039207, rz: 356,2062, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,06953523, y: 1,259984, z: 0,1605399, rx: 25,15497, ry: 3,341347, rz: 356,6692, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,06892015, y: 1,260055, z: 0,1595125, rx: 25,09195, ry: 3,84465, rz: 357,066, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,06790663, y: 1,259408, z: 0,1598871, rx: 24,87979, ry: 4,232775, rz: 357,2557, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,06741522, y: 1,259582, z: 0,1593979, rx: 24,50795, ry: 4,679636, rz: 357,7352, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,06665325, y: 1,260025, z: 0,1581397, rx: 24,06206, ry: 5,294721, rz: 357,9532, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,06609887, y: 1,260411, z: 0,1592009, rx: 23,63595, ry: 6,563276, rz: 359,161, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,0658813, y: 1,260766, z: 0,1581712, rx: 22,94937, ry: 6,817904, rz: 359,4123, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,06474422, y: 1,261144, z: 0,1577447, rx: 22,80611, ry: 7,17477, rz: 0,02878466, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:03:38, x: 0,06348706, y: 1,261539, z: 0,1575522, rx: 22,42008, ry: 7,064609, rz: 0,1134541, instruction ID: 0, Game state: waiting for user to recenter
