Timestamp: 7-3-2024 13:41:35, x: 0, y: 0, z: 0, rx: 0, ry: 0, rz: 0, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7275339, y: 1,267446, z: -0,6136227, rx: 14,59892, ry: 89,31961, rz: 357,3016, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7283407, y: 1,268041, z: -0,6133905, rx: 14,25654, ry: 89,68758, rz: 357,6053, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,728932, y: 1,269127, z: -0,6133038, rx: 13,73578, ry: 90,10175, rz: 357,787, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,729176, y: 1,268937, z: -0,6134595, rx: 13,7288, ry: 90,28186, rz: 357,8087, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7293584, y: 1,269334, z: -0,6133736, rx: 13,88056, ry: 90,34941, rz: 357,6494, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7292938, y: 1,269311, z: -0,613305, rx: 13,9718, ry: 90,22298, rz: 357,6017, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,729113, y: 1,269637, z: -0,6133685, rx: 14,14683, ry: 89,96095, rz: 357,5695, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7292352, y: 1,270063, z: -0,6135171, rx: 14,45542, ry: 89,67341, rz: 357,5967, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7299061, y: 1,270527, z: -0,6138147, rx: 14,45756, ry: 89,11127, rz: 357,7893, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,730452, y: 1,271083, z: -0,6139723, rx: 14,7956, ry: 88,60886, rz: 357,9816, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7303255, y: 1,271146, z: -0,6134569, rx: 14,69837, ry: 88,44333, rz: 357,8621, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7310085, y: 1,271008, z: -0,6141903, rx: 14,78182, ry: 88,45409, rz: 358,0813, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7314514, y: 1,27123, z: -0,6136733, rx: 15,1698, ry: 89,2524, rz: 357,6798, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7310008, y: 1,270588, z: -0,6143307, rx: 14,90089, ry: 89,80679, rz: 357,8264, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7313138, y: 1,270864, z: -0,61443, rx: 14,55855, ry: 90,45905, rz: 358,345, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7312366, y: 1,272269, z: -0,614914, rx: 14,45884, ry: 90,7781, rz: 359,0081, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 13:41:36, x: -0,7314119, y: 1,272445, z: -0,6144737, rx: 14,30088, ry: 90,78593, rz: 359,1986, instruction ID: 0, Game state: waiting for user to recenter
